subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
generator,repair,7,7,6734191,0,364040.8333333333,7098231.833333333
heat_cool,delay,7,7,0,0,2399.941898148148,2399.941898148148
heat_cool,repair,7,7,292808,0,1622.5,294430.5
hub,delay,7,7,0,0,6031.582638888889,6031.582638888889
hub,repair,7,7,241057,0,4891.666666666667,245948.66666666666
main_bearing_failures,delay,7,7,0,0,202805.9251851852,202805.9251851852
main_bearing_failures,repair,7,7,1573500,0,111322.0,1684822.0
main_bearing_maintenance,delay,7,7,0,0,3929.1233796296297,3929.1233796296297
main_bearing_maintenance,maintenance,7,7,3464000,0,1865.0,3465865.0
oil,delay,7,7,0,0,3645.6847222222223,3645.6847222222223
oil,repair,7,7,257943,0,2946.6666666666665,260889.66666666666
other,delay,7,7,0,0,72779.70393518519,72779.70393518519
other,repair,7,7,662192,0,19695.833333333336,681887.8333333334
pitch,delay,7,7,0,0,48011.64699074074,48011.64699074074
pitch,repair,7,7,1632690,0,21305.833333333332,1653995.8333333335
power_supply,delay,7,7,0,0,347834.44212962966,347834.44212962966
power_supply,repair,7,7,1412444,0,56548.333333333336,1468992.3333333333
pump_motor,delay,7,7,0,0,2624.046296296296,2624.046296296296
pump_motor,repair,7,7,553114,0,2503.333333333333,555617.3333333334
relay,delay,7,7,0,0,582067.5861111111,582067.5861111111
relay,repair,7,7,735603,0,51228.333333333336,786831.3333333334
safety,delay,7,7,0,0,1554.057638888889,1554.057638888889
safety,repair,7,7,180800,0,1185.0,181985.0
sensors,delay,7,7,0,0,4492.3907407407405,4492.3907407407405
sensors,repair,7,7,688341,0,3938.333333333333,692279.3333333334
service_items,delay,7,7,0,0,1322.4590277777777,1322.4590277777777
service_items,repair,7,7,30716,0,1228.3333333333335,31944.333333333336
tower_substructure,delay,7,7,0,0,934.1104166666667,934.1104166666667
tower_substructure,repair,7,7,327595,0,959.1666666666666,328554.1666666667
transformer,delay,7,7,0,0,1010.8275462962963,1010.8275462962963
transformer,maintenance,7,7,4176,0,580.0,4756.0
transformer,repair,7,7,4025,0,70.0,4095.0
xformer,delay,7,7,0,0,954.1418981481481,954.1418981481481
xformer,repair,7,7,151137,0,995.0,152132.0
yaw,delay,7,7,0,0,263730.5266203704,263730.5266203704
yaw,repair,7,7,210689,0,24819.166666666668,235508.16666666666
blades,delay,8,8,0,0,8313.156712962962,8313.156712962962
blades,repair,8,8,300763,0,7277.5,308040.5
controls,delay,8,8,0,0,64988.69074074074,64988.69074074074
controls,repair,8,8,570113,0,7311.666666666666,577424.6666666666
electrical,delay,8,8,0,0,294002.2599537037,294002.2599537037
electrical,repair,8,8,318737,0,17442.5,336179.5
gearbox,delay,8,8,0,0,30271047.839814816,30271047.839814816
gearbox,repair,8,8,22855748,0,2217596.4583333335,25073344.458333332
generator,delay,8,8,0,0,4676328.180555556,4676328.180555556
generator,repair,8,8,6369712,0,362188.33125,6731900.33125
heat_cool,delay,8,8,0,0,1999.9152777777776,1999.9152777777776
heat_cool,repair,8,8,324240,0,1796.6666666666667,326036.6666666666
hub,delay,8,8,0,0,7000.729861111111,7000.729861111111
hub,repair,8,8,265912,0,5333.333333333333,271245.3333333333
main_bearing_failures,delay,8,8,0,0,207.49907407407406,207.49907407407406
main_bearing_failures,repair,8,8,744000,0,167.49953703703704,744167.499537037
main_bearing_maintenance,delay,8,8,0,0,4387.467592592592,4387.467592592592
main_bearing_maintenance,maintenance,8,8,3471500,0,1880.0,3473380.0
oil,delay,8,8,0,0,3399.8502314814814,3399.8502314814814
oil,repair,8,8,255484,0,2941.6666666666665,258425.66666666666
other,delay,8,8,0,0,11336.386111111111,11336.386111111111
other,repair,8,8,707992,0,9010.833333333334,717002.8333333334
