subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
power_supply,repair,9,9,1408640,0,38465.0,1447105.0
pump_motor,delay,9,9,0,0,2826.5495370370368,2826.5495370370368
pump_motor,repair,9,9,563858,0,2546.6666666666665,566404.6666666667
relay,delay,9,9,0,0,754497.1594907407,754497.1594907407
relay,repair,9,9,695367,0,27485.0,722852.0
safety,delay,9,9,0,0,1659.888888888889,1659.888888888889
safety,repair,9,9,171354,0,1210.0,172564.0
sensors,delay,9,9,0,0,3818.2002314814813,3818.2002314814813
sensors,repair,9,9,568419,0,3828.333333333333,572247.3333333334
service_items,delay,9,9,0,0,1512.4636574074073,1512.4636574074073
service_items,repair,9,9,28509,0,1289.1666666666667,29798.166666666668
tower_substructure,delay,9,9,0,0,1696.6249999999998,1696.6249999999998
tower_substructure,repair,9,9,345240,0,1035.0,346275.0
transformer,delay,9,9,0,0,1039.1592592592592,1039.1592592592592
transformer,maintenance,9,9,4176,0,580.0,4756.0
transformer,repair,9,9,34550,0,150.0,34700.0
xformer,delay,9,9,0,0,869.1564814814815,869.1564814814815
xformer,repair,9,9,47820,0,737.5,48557.5
yaw,delay,9,9,0,0,53596.881250000006,53596.881250000006
yaw,repair,9,9,152944,0,9284.166666666668,162228.16666666666
blades,delay,10,10,0,0,128598.79930555556,128598.79930555556
blades,repair,10,10,462700,0,52595.0,515295.0
controls,delay,10,10,0,0,5937.356944444445,5937.356944444445
controls,repair,10,10,520280,0,5378.333333333333,525658.3333333334
electrical,delay,10,10,0,0,72315.18703703703,72315.18703703703
electrical,repair,10,10,263242,0,9151.666666666666,272393.6666666667
gearbox,delay,10,10,0,0,28350525.138657406,28350525.138657406
gearbox,repair,10,10,19794430,0,1898123.3333333333,21692553.333333332
generator,delay,10,10,0,0,6038226.614120371,6038226.614120371
generator,repair,10,10,6902049,0,438806.875,7340855.875
heat_cool,delay,10,10,0,0,1984.120601851852,1984.120601851852
heat_cool,repair,10,10,302432,0,1675.8333333333335,304107.8333333333
hub,delay,10,10,0,0,241637.49259259258,241637.49259259258
hub,repair,10,10,444271,0,52568.333333333336,496839.3333333333
main_bearing_failures,delay,10,10,0,0,1135887.5219999999,1135887.5219999999
main_bearing_failures,repair,10,10,480000,0,355622.39999999997,835622.3999999999
main_bearing_maintenance,delay,10,10,0,0,20878.87337962963,20878.87337962963
main_bearing_maintenance,maintenance,10,10,7092000,0,8865.0,7100865.0
oil,delay,10,10,0,0,4564.843055555555,4564.843055555555
oil,repair,10,10,250179,0,2953.333333333333,253132.3333333333
other,delay,10,10,0,0,124506.93657407408,124506.93657407408
other,repair,10,10,707554,0,19876.666666666668,727430.6666666666
pitch,delay,10,10,0,0,19303.840277777777,19303.840277777777
pitch,repair,10,10,1573815,0,17193.333333333332,1591008.3333333335
power_supply,delay,10,10,0,0,1077178.673611111,1077178.673611111
power_supply,repair,10,10,1603898,0,65625.0,1669523.0
pump_motor,delay,10,10,0,0,2644.0495370370368,2644.0495370370368
pump_motor,repair,10,10,593580,0,2601.6666666666665,596181.6666666667
relay,delay,10,10,0,0,502324.04328703706,502324.04328703706
relay,repair,10,10,603159,0,27095.833333333332,630254.8333333334
safety,delay,10,10,0,0,1239.0502314814814,1239.0502314814814
safety,repair,10,10,167258,0,1152.5,168410.5
sensors,delay,10,10,0,0,3259.065972222222,3259.065972222222
